-0.000000 0.000000
-49.401581 338679218108.648682
-98.803162 1354716872434.594727
-148.204744 3048112962977.838379
-197.606325 5418867489738.378906
-247.007906 8466980452716.217773
-296.409487 12192451851911.353516
-345.811068 16595281687323.787109
-395.212650 21675469958953.515625
-444.614231 27433016666800.546875
-494.015812 33867921810864.871094
-543.417393 40980185391146.492188
-592.818974 48769807407645.414062
-642.220556 57236787860361.632812
-691.622137 66381126749295.148438
-741.023718 76202824074445.953125
-790.425299 86701879835814.062500
-839.826880 97878294033399.484375
-889.228462 109732066667202.187500
-938.630043 122263197737222.171875
-988.031624 135471687243459.484375
-1037.433205 149357535185914.062500
-1086.834787 163920741564585.968750
-1136.236368 179161306379475.156250
-1185.637949 195079229630581.656250
-1235.039530 211674511317905.437500
-1284.441111 228947151441446.531250
-1333.842693 246897150001204.875000
-1383.244274 265524506997180.593750
-1432.645855 284829222429373.562500
-1482.047436 304811296297783.812500
-1531.449017 325470728602411.437500
-1580.850599 346807519343256.250000
-1630.252180 368821668520318.437500
-1679.653761 391513176133597.937500
-1729.055342 414882042183094.687500
-1778.456923 438928266668808.750000
-1827.858505 463651849590740.062500
-1877.260086 489052790948888.687500
-1926.661667 515131090743254.687500
-1976.063248 541886748973837.937500
-2025.464829 569319765640638.500000
-2074.866411 597430140743656.250000
-2124.267992 626217874282891.375000
-2173.669573 655682966258343.875000
-2223.071154 685825416670013.625000
-2272.472735 716645225517900.625000
-2321.874317 748142392802005.000000
-2371.275898 780316918522326.625000
